email;business_name;category;city;province;region;address;phone;website;contact_name;provenienza;origine;score;priority;source;source_url
info@canileoasi.it;L'Oasi - Pensione e rifugio per cani e gatti;Pensioni per animali;;;;;+39 3899362371;https://canileoasi.it/;;manuale;email;69;B;IlMioCane.org;https://www.ilmiocane.org/attivita
megdambrosio@gmail.com;Rifugio LAPA;Rifugi per animali;;;;;+39 3204418463, +39 3382834789;;;manuale;email;41;D;Doggami (mappa canili);https://doggami.it/mappa-canili/
clinicalarcadinoe@gmail.com;L'Arca di Noé;Veterinari;Chieti;CH;Abruzzo;;;https://www.clinicalarcadinoe.it/;;automatica;email;63;C;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/13700892096
info@parafarmacialaveterinaria.com;Parafarmacia La Veterinaria;Veterinari;Montesilvano;PE;Abruzzo;Via Caravaggio 261, 65125;+39 3908572948;https://www.parafarmacialaveterinaria.com;Dr.Rossetti;automatica;email;82;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/8274468410
vetvialekennedy@gmail.com;Ambulatorio Veterinario Viale Kennedy;Veterinari;Pescara;PE;Abruzzo;Viale Kennedy 98,100, 65123;+39 3472544094;https://www.vetvialekennedy.it/;;automatica;email;83;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/8466127355
irandagidiisoladicaporizzuto@gmail.com;I Randagi di Isola di Capo Rizzuto;Associazioni animaliste;Isola di Capo Rizzuto;KR;Calabria;;+39 3343019914, +39 3407269241;https://irandagidisola.it/;;manuale;email;61;C;AnnunciAnimali.it;https://www.annuncianimali.it/regalo/cani/vicino-a-me/bassano-del-grappa-vicenza/
futuredililmondodipluto@gmail.com;Il Mondo di Pluto;Pensioni per animali;Ricadi;VV;Calabria;Santa Domenica di Ricadi - 89836;+39 3498662784;;;manuale;email;63;C;Cani.com;https://www.cani.com/attivita/ilmondodipluto
newdogcenter@gmail.com;NewDog Beauty Center - Vomero;Toelettature;Napoli;NA;Campania;;+39 3476788633;https://www.newdog.it/;;manuale;email;66;B;Sito ufficiale;https://www.newdog.it/
info@petzon.it;Petzone;Pet shop;Napoli;NA;Campania;Via Rocco Marco di Torrepadula 175, 80145;+39 0817406535;https://www.petzon.it/;;automatica;email;71;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/11150529348
info@animalcaresrl.it;Animal Care Clinica Veterinaria;Veterinari;Nocera Inferiore;SA;Campania;Via Raffaele Libroia 80, 84014;+39 081918397;https://www.animalcaresrl.it/;Dott. Saverio Giordano;automatica;email;97;A+;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/12663536970
info@beautypets.it;Beauty Pets;Toelettature;Salerno;SA;Campania;Via Michelangelo Schipa 15, 84125;+39 0892966027;https://www.beautypets.it;;automatica;email;71;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/7389616337
abateanna73@virgilio.it;ABATE Pet & Garden;Pet shop;Scafati;SA;Campania;Via Nazionale 114, 84012;;;Anna Abate;automatica;email;58;C;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/12842234440
aquarium2007@libero.it;Aquarium;Pet shop;Scafati;SA;Campania;Via Nazionale 174, 84012;08119526889 (formato da verificare);https://aquariumangri.it/;Antonio Pisacane;automatica;email;84;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/12847531319
f.llidelloioio@libero.it;Pet Shop dello Ioio - Acquariologia, Pesca Sub, Uccelleria;Negozi per animali;Vico Equense;NA;Campania;;+39 3913681443;;F.lli Dello Ioio;manuale;email;49;D;PagineGialle;https://www.paginegialle.it/molise/campobasso/toelettatura_cane.html
