email;phone;business_name;category;city;province;region;address;website;contact_name;novita;data;fonte_contatto;provenienza;score;priority;source;source_url
;+39 014456358;Ambulatorio Veterinario Acquese Di Amoruso Sergio e Pellegrini Raffaella;Ambulatori veterinari;Acqui Terme;;Piemonte;Corso Divisione Acqui 40;;;Nuova scheda;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;48;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/4830808322
;+39 3392665268, +39 3383277270;Ambulatorio Veterinario Archi Romani;Ambulatori veterinari;Acqui Terme;;Piemonte;Via Rosselli 7;;;Nuova scheda;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;48;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/4830808325
;+39 0124429107;Studio Veterinario Dottor De Marco Bruno;Ambulatori veterinari;Agliè;;Piemonte;Via Principe Amedeo 68, 10011;;;Nuova scheda;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;48;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/2909469553
;+39 0322240276;Ambulatorio veterinario Bassetti;Ambulatori veterinari;Arona;;Piemonte;Via Giuseppe Mazzini 26, 28041;;;Nuova scheda;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;48;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/6635100068
info@stortiglione.it;+39 032282127;Ambulatorio veterinario - Dr. Mario Stortiglione;Ambulatori veterinari;Borgomanero;;Piemonte;Via Santa Cristinetta 8, 28021;https://www.stortiglione.it/;;Nuova scheda;2026-09-21;https://www.stortiglione.it/contatti;automatica;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/6766235512
;+39 032281649;Ambulatorio veterinario Poletti;Ambulatori veterinari;Borgomanero;;Piemonte;Via San Giovanni 37, 28021;;;Nuova scheda;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;48;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/2830140851
;+39 330531161;Ambulatorio veterinario Dr. Zerbola M. Vittoria;Ambulatori veterinari;Bussoleno;;Piemonte;Piazza Quattro Novembre 5a, 10053;;;Nuova scheda;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;48;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/11381204389
;+39 3283068421;Dott.sa Demaria Daniela;Veterinari;Isola d'Asti;;Piemonte;Corso Giambattista Volpini 255, 14057;;;Nuova scheda;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;48;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/8461815611
ambvetsacrocuore@yahoo.com;345 (formato da verificare), 2753882 (formato da verificare);Ambulatorio Veterinario Sacro Cuore Ivrea;Ambulatori veterinari;Ivrea;TO;Piemonte;Via Torino 184b, 10015;https://ambveterinariosacrocuoreivrea.weebly.com/;;Nuova scheda;2026-09-21;https://ambveterinariosacrocuoreivrea.weebly.com/;automatica;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/1877196872
;+39 0125425065;Ghirardo Dottor Michele Medico Veterinario;Veterinari;Ivrea;;Piemonte;Piazza Freguglia 5, 10015;;;Nuova scheda;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;48;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/2624742498
